CABra dataset - Streamflow attributes

q is the daily streamflow. 
q_mean, q_1, q_5, q_95, and q_99 are long-term mean of q, 1st quantile of q (very-low flow), 5th quantile of q (low flow), 95th quantile of q (hig-flow), and 99th quantile of q (very-high flow), respectively.
q_lf, q_ld, q_hf, and q_hd are the frequency and duration of low flow and high flow events, respectively. q_zero is the frequency of zero flow. q_hfd is the half-flow day.
q_cv, q_lcv, and q_hcv are the coefficient of variation of mean flow, low flow, and high flow, respectively.
q_elasticity, fdc_slope, baseflow_index, and runoff_coef are the streamflow elasticity, slope of the flow duration curve, the baseflow index, and the runoff coefficient of the catchment, respectively.
 
  CABra ID	     ANA ID	   q_mean	      q_1	      q_5	     q_95	     q_99	       q_lf	     q_ld	        q_hf	     q_hd	    q_hfd	      q_zero	     q_cv	    q_lcv	    q_hcv	    q_elasticity	       fdc_slope	  baseflow_index	     runoff_coef
          	           	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 days year¯¹	     days	 days year¯¹	     days	      DOY	 days year¯¹	         	         	         	                	                	                	                
       419	   60970000	     1.77	     1.08	     1.17	     2.95	     3.79	           0	        0	           0	        0	      164	           0	     0.08	     0.05	     0.24	           -0.02	           -0.77	           92.76	            0.40
       420	   61009000	     2.49	     0.78	     0.95	     5.70	     8.86	           0	        0	           0	        2	      149	           0	     0.23	     0.18	     0.47	            0.28	           -1.59	           89.80	            0.51
       421	   61012000	     2.11	     0.69	     0.80	     5.28	     7.80	           0	        0	           0	        2	      145	           0	     0.24	     0.18	     0.41	            0.58	           -1.74	           89.63	            0.48
       422	   61014000	     3.00	     1.00	     1.20	     6.62	    11.24	           0	        0	           1	        1	      152	           0	     0.20	     0.18	     0.41	           -0.04	           -1.60	           92.24	            0.54
       423	   61024000	     3.19	     0.86	     1.10	     7.68	    13.00	           0	        0	           1	        1	      150	           0	     0.25	     0.23	     0.50	            0.04	           -1.91	           91.50	            0.57
       424	   61031000	     2.80	     0.78	     1.02	     6.84	    12.56	           0	        0	           1	        2	      148	           0	     0.26	     0.28	     0.57	            0.13	           -1.50	           90.67	            0.55
       425	   61045000	     1.79	     0.51	     0.65	     4.63	     7.34	           0	        0	           0	        0	      146	           0	     0.25	     0.22	     0.22	            0.00	           -1.57	           87.67	            0.38
       426	   61052000	     1.78	     0.59	     0.76	     4.26	     7.33	           0	        0	           0	        1	      155	           0	     0.33	     0.25	     0.24	           -0.05	           -1.35	           92.05	            0.42
       427	   61060000	     2.23	     0.76	     0.89	     5.28	     7.96	           0	        0	           0	        2	      149	           0	     0.25	     0.18	     0.53	           -0.05	           -1.57	           91.23	            0.49
       428	   61075000	     1.83	     0.45	     0.60	     4.95	     8.61	           0	        0	           1	        2	      141	           0	     0.30	     0.22	     0.58	            0.07	           -1.71	           88.87	            0.44
       429	   61078000	     1.72	     0.36	     0.52	     4.56	     7.61	           0	        0	           1	        3	      143	           0	     0.28	     0.28	     0.53	            0.49	           -1.81	           89.15	            0.40
       430	   61085000	     2.80	     0.66	     0.88	     7.94	    14.18	           0	        0	           2	        2	      135	           0	     0.27	     0.32	     0.38	            0.39	           -1.56	           86.25	            0.61
       431	   61090000	     1.87	     0.55	     0.71	     4.67	     8.64	           0	        0	           1	        2	      140	           0	     0.24	     0.22	     0.32	            0.59	           -1.38	           88.41	            0.41
       432	   61100000	     1.76	     0.57	     0.69	     4.64	     5.89	           0	        0	           0	        2	      142	           0	     0.22	     0.24	     0.24	            0.21	           -1.52	           88.58	            0.42
       433	   61105000	     1.80	     0.51	     0.65	     4.70	     8.60	           0	        0	           1	        2	      141	           0	     0.30	     0.25	     0.34	            0.23	           -1.60	           89.65	            0.43
       434	   61107000	     1.68	     0.45	     0.58	     4.30	     8.10	           0	        0	           1	        3	      138	           0	     0.26	     0.25	     0.43	            0.43	           -1.52	           88.90	            0.38
       435	   61115000	     1.82	     0.32	     0.45	     5.39	    11.89	           0	        1	           6	        3	      127	           0	     0.30	     0.37	     0.47	            0.17	           -2.10	           86.44	            0.44
       436	   61122000	     1.59	     0.32	     0.52	     4.15	     9.15	           0	        1	           3	        2	      139	           0	     0.32	     0.30	     0.73	            0.27	           -1.49	           88.33	            0.40
       437	   61135000	     1.64	     0.42	     0.52	     4.37	     7.59	           0	        0	           2	        3	      137	           0	     0.32	     0.22	     0.54	            0.24	           -1.80	           88.50	            0.39
       438	   61173000	     1.44	     0.39	     0.51	     3.50	     6.95	           0	        0	           1	        2	      153	           0	     0.33	     0.28	     0.43	           -0.03	           -1.36	           91.59	            0.35
       439	   61267000	     1.42	     0.46	     0.61	     3.12	     4.93	           0	        0	           0	        2	      155	           0	     0.23	     0.26	     1.56	            0.01	           -1.14	           89.00	            0.27
       440	   61271000	     2.10	     0.72	     0.88	     4.50	     7.85	           0	        0	           0	        2	      154	           0	     0.19	     0.18	     0.32	           -0.05	           -1.38	           89.04	            0.40
       441	   61295000	     1.73	     0.36	     0.46	     4.98	    10.32	           0	        0	           4	        2	      144	           0	     0.32	     0.30	     0.54	           -0.55	           -1.78	           87.93	            0.38
       442	   61460000	     1.99	     0.56	     0.70	     5.13	     8.42	           0	        0	           0	        2	      145	           0	     0.26	     0.21	     0.42	           -0.40	           -1.69	           89.93	            0.39
       443	   61473000	     2.62	     0.80	     0.99	     6.09	    10.45	           0	        0	           0	        2	      150	           0	     0.26	     0.20	     0.40	           -0.20	           -1.64	           91.61	            0.55
       444	   61500000	     1.96	     0.52	     0.66	     4.91	     8.24	           0	        0	           1	        2	      147	           0	     0.26	     0.24	     0.40	           -0.18	           -1.68	           88.79	            0.41
       445	   61510000	     1.99	     0.56	     0.70	     5.13	     8.07	           0	        0	           0	        2	      146	           0	     0.27	     0.24	     0.46	           -0.16	           -1.66	           89.93	            0.42
       446	   61520000	     1.61	     0.37	     0.50	     4.52	     7.32	           1	       26	           0	        2	      142	           0	     0.30	     0.35	     0.30	            1.04	           -1.63	           89.25	            0.40
       447	   61537000	     1.80	     0.43	     0.59	     4.71	     7.21	           0	        0	           0	        2	      145	           0	     0.28	     0.30	     0.45	            1.21	           -1.68	           89.26	            0.39
       448	   61610000	     1.81	     0.51	     0.66	     4.27	     6.24	           0	        0	           0	        0	      154	           0	     0.27	     0.29	     0.22	            0.62	           -1.48	           88.76	            0.37
       449	   61700000	     1.62	     0.39	     0.50	     4.25	     8.70	           0	        0	           3	        1	      145	           0	     0.30	     0.22	     0.47	            0.35	           -1.69	           89.30	            0.35
       450	   61770000	     1.59	     0.26	     0.40	     4.41	     8.66	           1	        5	           2	        2	      144	           0	     0.36	     0.28	     0.42	           -0.41	           -1.97	           87.09	            0.35
       451	   61800500	     1.97	     0.44	     0.59	     5.20	     8.25	           0	        2	           0	        2	      150	           0	     0.33	     0.28	     0.36	           -0.26	           -1.94	           88.48	            0.37
       452	   61815000	     1.35	     0.18	     0.34	     3.41	     7.83	           4	        5	           3	        1	      151	           0	     0.49	     0.43	     0.70	           -0.21	           -1.58	           88.09	            0.28
       453	   61826000	     1.36	     0.29	     0.42	     3.60	     6.83	           1	       10	           1	        1	      149	           0	     0.32	     0.31	     0.34	           -0.09	           -1.65	           88.56	            0.28
       454	   61830000	     1.47	     0.53	     0.64	     3.27	     4.89	           0	        0	           0	        0	      153	           0	     0.25	     0.24	     0.34	           -0.01	           -1.29	           88.22	            0.33
       455	   61861000	     1.99	     0.58	     0.72	     4.91	     8.27	           0	        0	           0	        1	      153	           0	     0.31	     0.22	     0.34	           -0.73	           -1.50	           89.45	            0.41
       456	   61865000	     1.77	     0.48	     0.64	     4.49	     5.87	           0	        0	           0	        0	      153	           0	     0.29	     0.25	     0.25	           -0.64	           -1.66	           88.48	            0.39
       457	   61879000	     1.89	     0.46	     0.58	     4.88	     8.28	           0	        0	           1	        2	      153	           0	     0.31	     0.30	     0.34	           -0.39	           -1.84	           87.50	            0.43
       458	   61886000	     1.61	     0.39	     0.53	     4.28	     7.40	           0	        3	           0	        2	      148	           0	     0.28	     0.28	     0.29	           -0.52	           -1.63	           87.67	            0.37
       459	   61902000	     1.34	     0.32	     0.40	     3.41	     5.18	           0	        0	           0	        0	      152	           0	     0.28	     0.27	     0.26	           -0.21	           -1.89	           87.85	            0.32
       460	   61912000	     1.47	     0.43	     0.56	     3.37	     4.41	           0	        0	           0	        0	      156	           0	     0.24	     0.25	     0.20	           -0.26	           -1.62	           90.10	            0.35
       461	   61915000	     1.32	     0.34	     0.44	     3.07	     4.12	           0	        0	           0	        0	      155	           0	     0.27	     0.39	     0.23	            0.00	           -1.58	           90.03	            0.32
       462	   62395000	     1.29	     0.34	     0.46	     3.58	     7.37	           0	        0	           3	        1	      148	           0	     0.32	     0.22	     0.47	           -0.66	           -1.39	           86.81	            0.31
       463	   62600000	     0.81	     0.11	     0.18	     2.74	     4.63	           3	        4	           4	        3	      150	           0	     0.73	     0.75	     0.71	           -0.37	           -1.96	           84.90	            0.16
       464	   62615000	     0.91	     0.12	     0.25	     2.97	     4.78	           3	        4	           3	        2	      146	           0	     0.66	     0.50	     0.63	           -0.12	           -1.88	           83.89	            0.19
       465	   62625000	     1.56	     0.43	     0.54	     4.13	     6.78	           0	        0	           1	        2	      149	           0	     0.33	     0.27	     0.44	           -0.39	           -1.52	           87.95	            0.37
       466	   62665000	     0.95	     0.19	     0.23	     2.67	     4.42	           0	        1	           1	        2	      174	           0	     0.64	     0.55	     0.48	            0.43	           -1.45	           87.80	            0.20
       467	   62670000	     0.96	     0.32	     0.38	     2.42	     3.73	           0	        0	           0	        2	      153	           0	     0.45	     0.28	     0.39	           -0.27	           -1.44	           87.45	            0.22
       468	   62760130	     0.91	     0.07	     0.09	     2.33	     5.30	          59	       41	           1	        2	      148	           0	     0.58	     0.75	     0.55	            0.00	           -1.92	           88.85	            0.20
       469	   63350100	     1.10	     0.65	     0.74	     1.65	     2.02	           0	        0	           0	        0	      170	           0	     0.12	     0.12	     0.32	            0.01	           -0.57	           93.10	            0.28
       470	   63900001	     1.20	     0.63	     0.76	     1.97	     2.56	           0	        0	           0	        0	      168	           0	     0.15	     0.16	     0.29	           -0.19	           -0.70	           91.82	            0.31
       471	   63955000	     1.04	     0.59	     0.66	     1.67	     2.09	           0	        0	           0	        0	      170	           0	     0.15	     0.14	     0.21	           -0.04	           -0.79	           91.79	            0.27
       472	   64065000	     1.21	     0.30	     0.39	     3.12	     4.95	           0	        0	           0	        4	      155	           0	     0.36	     0.29	     0.45	           -0.04	           -1.62	           87.15	            0.30
       473	   64360000	     1.47	     0.29	     0.40	     4.24	     9.25	           0	        3	           5	        2	      163	           0	     0.42	     0.32	     0.55	           -0.12	           -1.67	           86.75	            0.36
       474	   64362000	     1.40	     0.25	     0.33	     4.58	     9.76	           0	        4	           8	        2	      158	           0	     0.38	     0.28	     0.36	           -0.00	           -1.76	           84.80	            0.35
       475	   64380000	     1.32	     0.17	     0.25	     4.28	    11.14	           1	        6	          10	        3	      161	           0	     0.49	     0.46	     0.49	            0.04	           -1.83	           86.24	            0.32
       476	   64382000	     1.39	     0.16	     0.24	     4.86	    12.20	           1	       12	          13	        3	      162	           0	     0.59	     0.54	     0.53	           -0.15	           -2.05	           84.20	            0.34
       477	   64442800	     1.75	     0.21	     0.31	     5.28	     7.09	           5	        8	           0	        3	      182	           0	     0.39	     0.54	     0.26	           -0.71	           -2.78	           84.56	            0.41
       478	   64447000	     1.79	     0.23	     0.32	     5.24	     8.92	           6	       13	           2	        3	      181	           0	     0.42	     0.48	     0.44	           -1.09	           -2.48	           85.85	            0.42
       479	   64465000	     1.86	     0.24	     0.38	     5.01	     9.02	           5	       15	           0	        3	      177	           0	     0.39	     0.43	     0.34	           -1.08	           -2.40	           86.54	            0.43
       480	   64501000	     1.77	     0.28	     0.43	     4.62	     8.22	           2	        9	           1	        3	      171	           0	     0.36	     0.38	     0.38	           -0.11	           -1.89	           87.36	            0.41
       481	   64507000	     1.71	     0.29	     0.41	     4.50	     8.03	           2	        6	           1	        3	      170	           0	     0.39	     0.39	     0.53	           -0.23	           -1.96	           87.62	            0.39
       482	   64508500	     1.32	     0.19	     0.30	     3.91	     8.53	           1	        7	           4	        2	      163	           0	     0.52	     0.63	     0.39	           -0.54	           -1.67	           86.70	            0.34
       483	   64550000	     1.32	     0.49	     0.59	     2.92	     4.95	           0	        0	           0	        2	      172	           0	     0.31	     0.27	     0.43	           -0.41	           -1.16	           91.34	            0.31
       484	   64613000	     0.90	     0.26	     0.33	     2.20	     3.48	           0	        0	           0	        2	      163	           0	     0.28	     0.31	     0.35	            0.62	           -1.53	           85.71	            0.24
       485	   64617000	     1.02	     0.40	     0.47	     2.01	     2.81	           0	        0	           0	        0	      170	           0	     0.25	     0.26	     0.34	            0.13	           -1.33	           89.19	            0.26
       486	   64620000	     2.36	     0.15	     0.27	     8.71	    17.21	          14	        8	          12	        3	      178	           0	     0.40	     0.48	     0.45	            0.00	           -2.71	           82.95	            0.52
       487	   64625000	     2.07	     0.12	     0.21	     7.88	    16.55	          14	        9	          15	        3	      181	           0	     0.43	     0.48	     0.33	           -0.64	           -2.78	           81.80	            0.45
       488	   64645000	     2.16	     0.23	     0.35	     7.01	    14.71	           5	       11	           7	        3	      180	           0	     0.37	     0.42	     0.33	            0.42	           -2.23	           84.36	            0.46
       489	   64652000	     1.69	     0.14	     0.18	     6.54	    16.37	           3	        5	          21	        3	      168	           0	     0.41	     0.34	     0.33	           -0.43	           -3.07	           81.44	            0.36
       490	   64655000	     2.00	     0.20	     0.29	     6.77	    14.24	           6	        7	           9	        3	      176	           0	     0.39	     0.46	     0.32	           -0.91	           -2.47	           83.53	            0.43
       491	   64659000	     2.09	     0.07	     0.16	     8.18	    17.87	          24	       11	          18	        3	      171	           0	     0.38	     0.53	     0.34	           -0.30	           -3.19	           82.30	            0.41
       492	   64673000	     2.03	     0.38	     0.66	     4.22	     6.53	           3	        3	           0	        3	      178	           0	     0.30	     0.44	     0.45	           -0.53	           -1.11	           88.65	            0.41
       493	   64675002	     1.93	     0.24	     0.35	     5.94	    13.00	           3	        7	           6	        2	      174	           0	     0.39	     0.43	     0.36	           -1.47	           -2.25	           84.88	            0.41
       494	   64682000	     1.71	     0.90	     1.03	     2.80	     4.04	           0	        0	           0	        0	      176	           0	     0.21	     0.21	     0.31	           -0.53	           -0.78	           92.84	            0.37
       495	   64685000	     1.87	     0.33	     0.46	     5.34	    11.04	           0	        3	           4	        3	      174	           0	     0.38	     0.35	     0.43	           -0.77	           -1.93	           86.27	            0.40
       496	   64693000	     1.82	     0.39	     0.55	     5.00	    10.38	           0	        0	           3	        3	      173	           0	     0.37	     0.30	     0.48	           -0.69	           -1.70	           87.21	            0.40
       497	   64715001	     1.55	     0.69	     0.82	     2.74	     3.78	           0	        0	           0	        0	      175	           0	     0.26	     0.24	     0.25	           -0.27	           -0.92	           91.72	            0.36
       498	   64771500	     2.58	     0.16	     0.31	     9.38	    20.11	          11	       12	          14	        2	      176	           0	     0.36	     0.44	     0.43	           -0.30	           -2.79	           82.74	            0.49
       499	   64773000	     2.61	     0.07	     0.15	    10.93	    26.81	          24	        8	          27	        3	      172	           0	     0.38	     0.59	     0.39	            0.51	           -3.50	           79.88	            0.49
       500	   64775000	     3.04	     0.30	     0.42	    10.75	    22.83	           5	        7	          11	        2	      170	           0	     0.33	     0.42	     0.32	            0.63	           -2.58	           83.74	            0.58
       501	   64785000	     2.18	     0.53	     0.76	     4.69	     7.62	           1	        4	           0	        2	      177	           0	     0.28	     0.34	     0.39	           -0.57	           -1.44	           91.67	            0.42
       502	   64795000	     2.47	     0.24	     0.35	     7.87	    17.14	           7	        9	           8	        2	      174	           0	     0.36	     0.52	     0.34	            0.08	           -2.43	           84.65	            0.47
       503	   64799500	     2.48	     0.25	     0.44	     7.46	    15.72	           6	        9	           5	        2	      175	           0	     0.33	     0.49	     0.35	           -0.07	           -2.21	           85.54	            0.48
       504	   64810000	     2.11	     0.82	     0.95	     4.24	     7.43	           0	        0	           0	        2	      173	           0	     0.29	     0.28	     0.54	           -0.25	           -1.23	           91.07	            0.48
       505	   64815000	     1.77	     0.67	     0.81	     3.59	     6.24	           0	        0	           0	        2	      174	           0	     0.29	     0.29	     0.48	           -0.42	           -1.18	           90.50	            0.39
       506	   64820000	     2.30	     0.44	     0.59	     6.40	    11.98	           1	       10	           2	        2	      173	           0	     0.31	     0.37	     0.34	           -0.02	           -1.87	           87.10	            0.46
       507	   64830000	     2.23	     0.44	     0.59	     5.97	    11.93	           0	        5	           2	        2	      174	           0	     0.33	     0.40	     0.33	           -0.13	           -1.83	           87.33	            0.45
       508	   64843000	     1.32	     0.64	     0.80	     2.23	     3.01	           0	        0	           0	        0	      175	           0	     0.21	     0.20	     0.23	           -0.07	           -0.71	           92.33	            0.32
       509	   65010000	     2.32	     0.46	     0.56	     6.33	     9.82	           0	        0	           0	        2	      161	           0	     0.29	     0.24	     0.24	           -0.04	           -2.15	           81.40	            0.42
       510	   65015400	     2.12	     0.42	     0.52	     5.72	     9.49	           0	        1	           0	        4	      160	           0	     0.36	     0.36	     0.42	           -0.02	           -2.38	           82.98	            0.42
       511	   65025000	     1.99	     0.37	     0.50	     5.41	     7.90	           1	        3	           0	        3	      173	           0	     0.33	     0.40	     0.37	           -0.33	           -2.04	           82.47	            0.41
       512	   65027000	     1.82	     0.21	     0.38	     5.51	     9.33	           7	        9	           1	        2	      178	           0	     0.38	     0.49	     0.29	           -0.32	           -1.90	           82.60	            0.43
       513	   65094500	     0.80	     0.07	     0.13	     2.37	     4.62	          11	       15	           3	        4	      169	           1	     0.48	     0.64	     0.55	           -0.48	           -1.80	           85.09	            0.15
       514	   65095000	     2.00	     0.31	     0.50	     5.24	     8.82	           2	        5	           1	        4	      168	           0	     0.39	     0.50	     0.40	           -0.22	           -1.94	           85.16	            0.38
       515	   65135000	     1.94	     0.47	     0.56	     5.49	     7.63	           0	        0	           0	        4	      172	           0	     0.36	     0.29	     0.46	           -1.19	           -1.82	           85.03	            0.40
       516	   65136550	     1.92	     0.46	     0.56	     5.07	     8.53	           0	        0	           1	        4	      173	           0	     0.39	     0.38	     0.56	           -0.63	           -1.70	           86.22	            0.42
       517	   65220000	     1.92	     0.27	     0.38	     5.30	     8.35	           3	        9	           1	        4	      172	           0	     0.41	     0.37	     0.47	           -0.47	           -2.32	           84.77	            0.42
       518	   65310000	     2.01	     0.26	     0.38	     5.56	     8.28	           6	       13	           1	        5	      174	           0	     0.42	     0.46	     0.43	            0.42	           -2.40	           84.83	            0.44
       519	   65365000	     2.93	     0.37	     0.56	     8.86	    19.65	           2	        3	           5	        2	      183	           0	     0.42	     0.40	     0.60	            0.34	           -1.99	           83.36	            0.67
       520	   65925000	     3.08	     0.29	     0.50	    10.00	    20.57	           7	        6	           7	        2	      188	           0	     0.41	     0.58	     0.45	            0.40	           -2.27	           82.58	            0.56
       521	   65945000	     2.75	     0.41	     0.61	     8.20	    13.76	           0	        0	           2	        2	      184	           0	     0.39	     0.35	     0.43	            0.33	           -2.01	           87.66	            0.50
       522	   65948000	     3.80	     0.08	     0.22	    15.30	    40.51	          39	       10	          21	        3	      185	           0	     0.53	     0.61	     0.45	            0.17	           -3.36	           79.03	            0.67
       523	   65960000	     2.88	     0.23	     0.41	     9.47	    17.97	          13	        8	           5	        3	      186	           0	     0.42	     0.66	     0.49	            0.33	           -2.23	           84.09	            0.53
       524	   65979000	     2.73	     0.25	     0.43	     8.70	    19.45	           7	        7	           7	        3	      175	           0	     0.37	     0.49	     0.42	            0.28	           -2.19	           84.39	            0.51
       525	   66260001	     1.53	     0.33	     0.38	     4.53	     6.91	           0	        0	           1	        3	      149	           0	     0.25	     0.24	     0.25	           -0.17	           -2.35	           88.09	            0.36
       526	   67100000	     0.41	     0.17	     0.21	     0.72	     0.90	           0	        0	           0	        0	      211	           0	     0.24	     0.31	     0.28	            0.13	           -1.00	           96.99	            0.11
       527	   70100000	     2.70	     0.28	     0.42	     8.51	    21.76	           3	        5	          11	        2	      177	           0	     0.34	     0.38	     0.41	            0.37	           -2.55	           80.20	            0.52
       528	   70200000	     2.61	     0.22	     0.36	     8.42	    21.39	           8	        6	          10	        2	      197	           0	     0.34	     0.48	     0.45	            0.20	           -2.35	           79.71	            0.51
       529	   70300000	     2.90	     0.19	     0.32	     9.93	    27.60	          11	        5	          15	        2	      208	           0	     0.39	     0.43	     0.58	            0.21	           -2.87	           77.79	            0.64
       530	   70500000	     3.63	     0.17	     0.35	    13.85	    33.12	          13	        7	          16	        2	      212	           0	     0.42	     0.69	     0.49	            0.05	           -2.41	           79.74	            0.77
       531	   71200000	     3.05	     0.41	     0.61	    10.16	    15.51	           2	        7	           3	        2	      169	           0	     0.35	     0.38	     0.22	            0.06	           -2.29	           80.71	            0.60
       532	   71250000	     2.58	     0.23	     0.40	     9.32	    15.63	           7	        8	           7	        2	      176	           0	     0.34	     0.49	     0.33	           -0.30	           -2.47	           78.53	            0.56
       533	   71300000	     2.61	     0.38	     0.52	     7.53	    10.89	           2	        7	           1	        2	      170	           0	     0.34	     0.32	     0.34	            0.04	           -2.36	           80.37	            0.53
       534	   71383000	     2.38	     0.30	     0.43	     7.02	    10.07	           4	        8	           1	        2	      175	           0	     0.38	     0.37	     0.29	           -0.00	           -2.41	           81.47	            0.48
       535	   71498000	     2.34	     0.32	     0.50	     6.62	    12.27	           3	        5	           2	        2	      180	           0	     0.38	     0.47	     0.63	           -0.16	           -2.01	           83.30	            0.49
       536	   71550000	     2.50	     0.26	     0.40	     7.50	    12.95	           8	        6	           3	        2	      181	           0	     0.42	     0.47	     0.64	           -0.08	           -2.48	           81.74	            0.52
       537	   72430000	     2.49	     0.26	     0.42	     8.16	    17.72	           4	        7	           9	        2	      215	           0	     0.40	     0.42	     0.48	            0.14	           -2.31	           85.28	            0.48
       538	   72630000	     2.49	     0.25	     0.36	     8.60	    19.14	           6	        6	          10	        2	      202	           0	     0.40	     0.50	     0.33	            0.30	           -2.27	           84.13	            0.46
       539	   72680000	     2.76	     0.25	     0.37	     9.82	    22.60	           8	        8	          10	        2	      202	           0	     0.42	     0.50	     0.41	            0.56	           -2.41	           83.31	            0.51
       540	   72715000	     2.38	     0.11	     0.23	     8.36	    18.61	          20	        6	          10	        2	      182	           0	     0.47	     0.81	     0.49	            0.33	           -2.72	           79.44	            0.51
       541	   72810000	     2.38	     0.19	     0.32	     8.25	    19.26	           8	        6	          11	        2	      182	           0	     0.46	     0.58	     0.40	            0.31	           -2.57	           80.74	            0.49
       542	   72870000	     2.59	     0.03	     0.18	     8.99	    24.08	          21	        3	          16	        2	      201	           0	     0.49	     1.19	     0.76	           -0.06	           -2.35	           72.35	            0.50
       543	   73300000	     2.99	     0.28	     0.48	    10.59	    24.09	           8	        5	          11	        2	      186	           0	     0.48	     0.51	     0.43	           -0.18	           -2.12	           81.75	            0.54
       544	   73330000	     3.04	     0.28	     0.47	    10.54	    23.71	           5	        4	          12	        2	      188	           0	     0.44	     0.61	     0.52	            0.04	           -2.37	           81.70	            0.53
       545	   73350000	     2.99	     0.25	     0.44	     9.85	    23.90	           9	        5	          10	        2	      190	           0	     0.41	     0.63	     0.55	            0.17	           -2.44	           81.62	            0.53
       546	   73600000	     3.39	     0.52	     0.73	    10.47	    18.63	           2	        4	           3	        2	      186	           0	     0.38	     0.44	     0.46	            0.09	           -1.94	           83.12	            0.62
       547	   73690001	     2.98	     0.44	     0.70	     8.44	    17.69	           3	        4	           4	        2	      186	           0	     0.41	     0.44	     0.51	            0.42	           -1.69	           84.11	            0.53
       548	   73765000	     3.02	     0.15	     0.23	    12.77	    35.26	           7	        6	          31	        3	      182	           0	     0.48	     0.34	     0.49	            0.25	           -3.53	           79.55	            0.55
       549	   73770000	     2.92	     0.33	     0.53	     9.25	    18.76	           4	        6	           6	        3	      182	           0	     0.41	     0.49	     0.45	            0.35	           -2.09	           82.72	            0.52
       550	   73780000	     2.84	     0.06	     0.10	    11.47	    31.48	          42	        9	          28	        3	      191	           0	     0.46	     0.69	     0.39	            0.08	           -3.77	           78.18	            0.49
       551	   73820000	     2.77	     0.08	     0.17	    11.19	    27.31	          26	        9	          26	        3	      193	           0	     0.44	     0.59	     0.55	            0.29	           -3.40	           78.32	            0.49
       552	   73900000	     3.16	     0.20	     0.34	    10.81	    27.35	          15	        6	          12	        2	      188	           0	     0.46	     0.54	     0.48	            0.33	           -2.74	           80.66	            0.56
       553	   73960000	     2.81	     0.31	     0.50	     9.03	    18.46	           6	        6	           5	        2	      187	           0	     0.41	     0.52	     0.44	            0.97	           -2.10	           82.01	            0.50
       554	   74100000	     2.58	     0.31	     0.48	     7.92	    16.14	           5	        8	           4	        2	      193	           0	     0.43	     0.46	     0.56	            0.95	           -2.33	           81.54	            0.50
       555	   74205000	     2.75	     0.13	     0.26	    10.70	    24.64	          16	       10	          18	        2	      200	           0	     0.44	     0.58	     0.33	            1.01	           -2.64	           82.57	            0.53
       556	   74270000	     3.24	     0.24	     0.36	    10.96	    29.43	          10	        6	          12	        2	      198	           0	     0.53	     0.72	     0.62	            0.68	           -2.70	           83.67	            0.60
       557	   74295000	     2.98	     0.11	     0.16	    12.37	    30.65	          35	        7	          28	        3	      191	           0	     0.51	     0.34	     0.52	            0.21	           -3.77	           77.68	            0.55
       558	   74320000	     3.04	     0.08	     0.17	    11.68	    33.28	          32	        7	          21	        2	      188	           0	     0.45	     0.62	     0.40	            0.48	           -3.18	           79.36	            0.54
       559	   74370000	     3.04	     0.37	     0.58	     9.00	    17.78	           4	        4	           4	        2	      193	           0	     0.45	     0.61	     0.37	            0.16	           -2.07	           85.61	            0.55
       560	   74460000	     2.78	     0.48	     0.72	     7.14	     9.74	           2	        8	           0	        0	      188	           0	     0.35	     0.53	     0.28	            0.26	           -1.93	           88.17	            0.50
       561	   74470000	     2.77	     0.25	     0.44	     7.84	    15.74	          12	        6	           3	        2	      194	           0	     0.43	     0.74	     0.48	           -0.14	           -2.24	           85.78	            0.51
       562	   74700000	     2.83	     0.34	     0.45	     9.26	    18.73	           4	        3	           7	        2	      179	           0	     0.43	     0.65	     0.25	           -0.20	           -2.38	           84.74	            0.52
       563	   74750000	     2.65	     0.23	     0.37	     8.38	    21.41	           9	        5	           9	        2	      184	           0	     0.47	     0.65	     0.31	            0.03	           -2.47	           81.62	            0.48
       564	   74800000	     2.58	     0.70	     0.80	     7.70	    15.36	           0	        0	           4	        2	      188	           0	     0.40	     0.19	     0.48	           -0.32	           -1.87	           85.57	            0.49
       565	   74880000	     2.73	     0.24	     0.36	    10.67	    18.85	           9	        7	          13	        2	      180	           0	     0.43	     0.61	     0.24	           -0.10	           -2.50	           83.88	            0.51
       566	   74900000	     2.86	     0.19	     0.30	    11.89	    26.06	          12	        7	          18	        3	      179	           0	     0.45	     0.64	     0.17	           -0.07	           -2.47	           82.75	            0.54
       567	   75550000	     2.27	     0.35	     0.46	     6.71	    10.15	           1	        7	           1	        3	      190	           0	     0.39	     0.39	     0.29	           -0.16	           -2.38	           82.64	            0.43
       568	   76310000	     1.78	     0.02	     0.05	     6.76	    12.92	          51	       18	          21	        5	      210	           0	     0.59	     0.89	     0.73	           -0.05	           -4.63	           79.24	            0.42
       569	   77150000	     2.29	     0.28	     0.38	     6.58	     9.53	           8	       11	           0	        0	      188	           0	     0.39	     0.54	     0.30	           -0.01	           -2.54	           83.13	            0.45
       570	   81125000	     1.82	     0.73	     0.82	     3.67	     6.55	           0	        0	           0	        2	      172	           0	     0.32	     0.22	     0.45	           -0.16	           -1.08	           91.85	            0.41
       571	   81140000	     1.30	     0.43	     0.54	     2.96	     6.52	           0	        0	           2	        2	      165	           0	     0.30	     0.28	     0.50	           -0.63	           -1.11	           88.54	            0.33
