CABra dataset - Land-cover attributes
 
cover_main is the most common land-cover class in the catchment.
cover_bare, cover_forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban, cover_snow are the fraction of cover of bare soil, forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban area and cover_snow in the catchment.
cover_waterp and cover_waters are the fraction of cover of permanent and seasonal water in the catchment.
ndvi_djf, ndvi_mam, ndvi_jja and ndvi_son are the NDVI values for summer, fall, winter and spring, respectively.
 
  CABra ID	     ANA ID	 cover_main	 cover_bare	  cover_forest	 cover_crops	 cover_grass	 cover_moss	 cover_shrub	 cover_urban	 cover_snow	  cover_waterp	  cover_waters	   ndvi_djf	   ndvi_mam	   ndvi_jja	   ndvi_son
       684	   46590000	      crops	      0.387	        11.697	     38.604	     27.570	      0.000	     21.555	      0.155	      0.000	         0.032	         0.040	      0.703	      0.717	      0.590	      0.560
       685	   46770000	      crops	      0.148	        12.903	     32.993	     30.252	      0.000	     23.684	      0.019	      0.000	         0.001	         0.004	      0.743	      0.770	      0.664	      0.601
       686	   46998000	      grass	      0.503	        23.111	     10.880	     37.079	      0.000	     27.726	      0.423	      0.000	         0.278	         0.195	      0.734	      0.759	      0.631	      0.567
       687	   47249000	      shrub	      0.456	        16.888	     11.360	     31.212	      0.000	     39.613	      0.451	      0.000	         0.019	         0.011	      0.703	      0.727	      0.610	      0.556
       688	   48850000	      shrub	      0.224	        20.959	      5.128	     26.223	      0.000	     47.048	      0.363	      0.000	         0.055	         0.099	      0.702	      0.721	      0.601	      0.570
       689	   53790000	      grass	      0.389	        32.114	      5.182	     35.596	      0.000	     26.284	      0.398	      0.000	         0.038	         0.056	      0.702	      0.724	      0.610	      0.553
       690	   58442000	     forest	      0.415	        59.817	      1.773	     23.857	      0.000	     11.734	      2.385	      0.000	         0.019	         0.073	      0.693	      0.733	      0.600	      0.520
       691	   58826000	     forest	      0.252	        65.857	      0.640	     15.038	      0.000	      7.165	     11.048	      0.000	         0.000	         0.017	      0.738	      0.765	      0.840	      0.779
       692	   58846000	     forest	      0.361	        60.042	      1.636	     25.413	      0.000	     10.500	      2.047	      0.000	         0.001	         0.073	      0.643	      0.669	      0.596	      0.562
       693	   58857000	     forest	      0.323	        53.152	      2.279	     31.799	      0.000	     11.568	      0.839	      0.000	         0.040	         0.088	      0.592	      0.607	      0.508	      0.481
       694	   58880001	     forest	      0.358	        47.756	      2.789	     34.205	      0.000	     12.453	      1.991	      0.000	         0.447	         0.321	      0.668	      0.704	      0.620	      0.580
       695	   60030000	      crops	      0.674	        11.326	     40.144	     28.707	      0.000	     17.999	      0.120	      0.000	         1.030	         0.804	      0.703	      0.739	      0.663	      0.625
       696	   60435100	      grass	      1.930	        13.202	      6.149	     38.795	      0.000	     17.871	     21.569	      0.000	         0.484	         0.108	      0.709	      0.738	      0.630	      0.596
       697	   60477400	      grass	      0.473	        24.331	      0.805	     41.823	      0.000	     27.758	      1.680	      0.000	         3.130	         0.235	      0.755	      0.789	      0.720	      0.678
       698	   60477600	      grass	      0.686	        25.577	      0.854	     36.158	      0.000	     27.429	      9.293	      0.000	         0.002	         0.014	      0.747	      0.779	      0.709	      0.671
       699	   60478500	      grass	      0.759	        21.648	      1.111	     37.457	      0.000	     25.656	     13.278	      0.000	         0.092	         0.027	      0.691	      0.732	      0.724	      0.666
       700	   60478600	      grass	      0.245	        32.774	      0.088	     35.651	      0.000	     27.321	      3.922	      0.000	         0.000	         0.000	      0.663	      0.710	      0.626	      0.579
       701	   60500000	      grass	      0.733	        18.484	     13.694	     35.614	      0.000	     21.316	      8.951	      0.000	         1.208	         0.153	      0.664	      0.711	      0.627	      0.580
       702	   60540000	      grass	      0.519	        20.406	     31.760	     35.179	      0.000	     11.977	      0.137	      0.000	         0.022	         0.083	      0.675	      0.719	      0.612	      0.560
       703	   61175000	      grass	      0.477	        32.988	     14.819	     36.700	      0.000	     14.654	      0.356	      0.000	         0.006	         0.032	      0.627	      0.662	      0.525	      0.461
       704	   61565000	      grass	      2.370	        26.718	     16.154	     39.487	      0.000	     14.707	      0.018	      0.000	         0.545	         0.124	      0.641	      0.642	      0.500	      0.414
       705	   61795000	      grass	      0.916	        22.275	     29.491	     35.207	      0.000	      9.745	      2.347	      0.000	         0.020	         0.081	      0.615	      0.654	      0.519	      0.460
       706	   61910000	     forest	      0.950	        31.425	     23.374	     30.953	      0.000	     10.453	      2.673	      0.000	         0.171	         0.249	      0.597	      0.640	      0.515	      0.471
       707	   61956001	      crops	      2.174	        14.441	     39.030	     33.867	      0.000	      9.273	      1.167	      0.000	         0.049	         0.112	      0.590	      0.629	      0.517	      0.477
       708	   62095100	     forest	      0.119	        91.140	      0.290	      6.437	      0.000	      1.744	      0.271	      0.000	         0.000	         0.009	      0.580	      0.617	      0.515	      0.485
       709	   62110000	     forest	      0.488	        71.952	      1.728	     16.035	      0.000	      5.552	      1.969	      0.000	         2.275	         1.009	      0.608	      0.642	      0.542	      0.498
       710	   62496001	     forest	      0.810	        47.030	      8.858	     31.165	      0.000	     10.278	      1.797	      0.000	         0.062	         0.186	      0.722	      0.768	      0.859	      0.808
       711	   62676000	     forest	      0.577	        56.857	      5.803	     23.943	      0.000	      7.733	      3.982	      0.000	         1.105	         0.366	      0.721	      0.751	      0.679	      0.639
       712	   62772500	      crops	      1.892	        17.134	     37.865	     23.709	      0.000	     10.989	      8.347	      0.000	         0.063	         0.087	      0.733	      0.714	      0.681	      0.620
       713	   63160000	      grass	      0.639	        24.765	     18.828	     43.912	      0.000	     10.889	      0.953	      0.000	         0.013	         0.066	      0.758	      0.777	      0.700	      0.675
       714	   64346000	      grass	      0.508	        19.319	     28.453	     40.702	      0.000	     10.118	      0.819	      0.000	         0.081	         0.116	      0.735	      0.665	      0.648	      0.617
       715	   64370000	     forest	      0.551	        36.534	     18.475	     33.602	      0.000	     10.176	      0.635	      0.000	         0.026	         0.139	      0.737	      0.662	      0.657	      0.617
       716	   64491000	     forest	      0.269	        47.710	     25.367	     16.460	      0.000	      8.531	      1.146	      0.000	         0.517	         0.326	      0.738	      0.674	      0.666	      0.625
       717	   65019700	      urban	      1.260	        24.812	      1.414	     14.277	      0.000	      9.090	     49.065	      0.000	         0.082	         0.133	      0.708	      0.589	      0.668	      0.434
       718	   65415000	     forest	      0.012	        89.525	      0.228	      8.324	      0.000	      1.898	      0.004	      0.000	         0.009	         0.033	      0.745	      0.693	      0.678	      0.620
       719	   65855000	     forest	      0.134	        47.000	     26.081	     18.192	      0.000	      8.303	      0.262	      0.000	         0.028	         0.094	      0.636	      0.549	      0.592	      0.404
       720	   66006000	     forest	      0.270	        48.951	      9.088	     30.553	      0.000	     10.979	      0.076	      0.000	         0.084	         0.052	      0.729	      0.665	      0.692	      0.503
       721	   66008000	     forest	      0.066	        52.408	      1.647	     26.577	      0.000	     19.292	      0.000	      0.000	         0.009	         0.021	      0.719	      0.628	      0.676	      0.482
       722	   66160000	     forest	      0.053	        35.058	      5.654	     33.849	      0.000	     25.355	      0.015	      0.000	         0.015	         0.111	      0.696	      0.652	      0.581	      0.427
       723	   75155000	      crops	      0.157	        15.478	     69.865	      9.214	      0.000	      4.265	      0.918	      0.000	         0.104	         0.315	      0.689	      0.644	      0.584	      0.467
       724	   75205000	      crops	      0.153	        12.736	     71.593	     10.370	      0.000	      4.037	      1.070	      0.000	         0.041	         0.233	      0.683	      0.648	      0.578	      0.468
       725	   75450000	      crops	      0.141	        17.792	     52.354	     22.993	      0.000	      6.486	      0.169	      0.000	         0.065	         0.269	      0.664	      0.657	      0.567	      0.471
       726	   76100000	      crops	      0.077	        27.154	     35.938	     27.970	      0.000	      8.492	      0.327	      0.000	         0.042	         0.452	      0.666	      0.664	      0.572	      0.481
       727	   76300000	      grass	      0.396	        17.012	     13.941	     53.976	      0.000	     13.125	      0.285	      0.000	         1.265	         2.300	      0.678	      0.656	      0.575	      0.470
       728	   76440000	      crops	      0.119	        22.220	     42.225	     27.640	      0.000	      7.609	      0.070	      0.000	         0.117	         0.526	      0.674	      0.658	      0.574	      0.475
       729	   76460000	      grass	      0.104	        24.357	     28.002	     37.150	      0.000	      9.262	      0.997	      0.000	         0.130	         0.201	      0.638	      0.677	      0.552	      0.535
       730	   81380000	     forest	      0.116	        84.451	      0.482	     10.761	      0.000	      3.765	      0.289	      0.000	         0.136	         0.091	      0.770	      0.742	      0.699	      0.672
       731	   81683000	     forest	      0.090	        86.699	      0.355	      9.304	      0.000	      3.044	      0.292	      0.000	         0.216	         0.131	      0.768	      0.740	      0.697	      0.669
       732	   84950000	     forest	      0.236	        52.652	     14.882	     24.963	      0.000	      6.532	      0.722	      0.000	         0.013	         3.910	      0.769	      0.750	      0.694	      0.670
       733	   87160000	     forest	      0.091	        60.690	      2.962	     25.569	      0.000	      7.440	      2.699	      0.000	         0.549	         0.342	      0.765	      0.734	      0.681	      0.634
       734	   87399000	      grass	      0.611	        29.562	      8.397	     44.990	      0.000	     13.539	      1.854	      0.000	         1.045	         3.969	      0.768	      0.613	      0.678	      0.493
       735	   87400000	      grass	      0.582	        32.535	      7.403	     42.837	      0.000	     12.989	      2.751	      0.000	         0.903	         3.499	      0.764	      0.721	      0.676	      0.609
